"Register address Field Type Accuracy Unit Min. Max. Read and write attributes Remarks Confidentiality level","Register address (Hex)","Field",,"Accuracy","Unit","Min","Max",,"Remarks",,"Mask claculation",
,"1027","IVCurveScan_Oneshot","U16",,,1,1,"RW","IV curve scan activated;
When the written value is 1, activate 1 IV curve scan;
When reading, return the status of the last write operation:
0x0000: success
0x0001: operating
0xFFFB: The operation failed and the controller refused to respond (maybe the controller is busy or the configuration is wrong)
0xFFFC: The operation failed and the controller did not respond
0xFFFD: Operation failed, current function is forbidden
0xFFFE: Operation failed, parameter access failed
0xFFFF: The operation failed, the input parameter is wrong","Installer",1,549755813888
,"1028","IVCurveScan_ReadChannel","U16",,,0,31,"RW","The IV curve scan returns the data channel.
This register is used to specify the PV channel corresponding to the return value of the IV curve scan result","Installer",1,1099511627776
,"1029","EPS_Control","U16",,,0,2,"RW","Emergency power supply enable control
0: Turn off the emergency power supply (default)
1: Turn on the emergency power supply and prohibit cold start
2: Turn on the emergency power supply and enable cold start","End user",1,2199023255552
,"102A","EPS_WaitTime","U16",1,"seconds",0,65535,"RW","Emergency power supply start waiting time (reserved function)","End user",,0
,"102B","BatteryActive_Control","U16",,,0,1,"RW","Battery automatic activation enable control","End user",,0
,"102C","BatteryActive_Oneshot","U16",,,1,1,"RW","Battery activation;
When the written value is 1, the battery is activated once;
When reading, return the status of the last write operation:
0x0000: success
0x0001: operating
0xFFFB: The operation failed and the controller refused to respond (maybe the controller is busy or the configuration is wrong)
0xFFFC: The operation failed and the controller did not respond
0xFFFD: Operation failed, current function is forbidden
0xFFFE: Operation failed, parameter storage failed
0xFFFF: The operation failed, the input parameter is wrong","End user",0,0
,"102D","CT_Auto_Calibrate","U16",,,1,1,"RW","CT automatic correction;
When the written value is 1, automatic CT correction is performed once;
When reading, return the status of the last write operation:
0x0000: success
0x0001: operating
0xFFFB: The operation failed and the controller refused to respond (maybe the controller is busy or the configuration is wrong)
0xFFFC: The operation failed and the controller did not respond
0xFFFD: Operation failed, current function is forbidden
0xFFFE: Operation failed, parameter storage failed
0xFFFF: The operation failed, the input parameter is wrong","Installer",1,35184372088832
,"102E","Italy_AutoTest","U16",,,1,2,"RW","意大利自动测试
写入：
0x0001：执行标准测试；
0x0002：执行快速测试；
读取时，返回上次写入操作的状态：
0x0000：成功
0x0001：正在操作标准测试
0x0002：正在操作快速测试
0xFFFB：操作失败，控制器拒绝响应（可能控制器正忙或配置错误）
0xFFFC：操作失败，控制器无应答
0xFFFD：操作失败，当前功能被禁止
0xFFFE：操作失败，参数存储失败
0xFFFF：操作失败，输入参数有误","Installer",1,70368744177664
,"102F",,"U16",,,,,"RW",,"Installer",,0
,"1030","EnergyStatistics_Date_Year","U16",1,"Year",0,19,"RW","Energy statistics return date setting register.
This register specifies the year of the returned energy data. Year refers to the Nth most recent year relative to the inverter system time. N is the register value.
0: the current year of the system time;
1: 1 year before the system time;
…
19: 19 years before system time","Installer",1,281474976710656
,"1031","EnergyStatistics_Date_Month","U16",1,"Month",1,12,"RW","Energy statistics return date setting register.
This register specifies the month of the returned energy data.","Installer",1,562949953421312
,"1032","EnergyStatistics_Date_Date","U16",1,"Date",1,31,"RW","Energy statistics return date setting register.
This register specifies the day and minute of the returned energy data","Installer",1,1125899906842624
,"1033","EnergyStatistics_Config","U16",,,,,"RW","Energy statistics return setting register.
High byte: the date and time setting of the returned data.
0x01: Every day, the first 24 data in the return area are valid;
0x02: every month, the first 31 data in the return area are valid;
0x03: Every year, the first 12 data in the return area are valid;
0x04: life cycle, the first 20 data in the return area are valid;
Other: invalid.
Low byte: the physical quantity setting of the returned data.
0x01: photovoltaic power generation;
0x02: load power consumption;
0x03: The system buys electricity;
0x04: The system sells electricity;
0x05: battery charge capacity;
0x06: battery discharge capacity;
Other: invalid. ","Installer",1,2251799813685248
,"1034","Language","U16",,,0,65535,"RW","The inverter menu language number setting register.
0:
1:","End user",1,4503599627370496
,"1035","Parallel_Control","U16",,,0,2,"RW","0: Disable the parallel function
1: Enable AC parallel function
2: Enable AC+BAT parallel function","Installer",1,"9,00719925474099E+015"
,"1036","Parallel_Master_Slave","U16",,,0,1,"RW","
0: The machine is configured as a slave
1: The machine is configured as the host (default)","Installer",1,"1,8014398509482E+016"
,"1037","Parallel_Address","U16",,,0,10,"RW","Local parallel address","Installer",1,"3,6028797018964E+016"
,"1038","UnbalancedSupport_Control","U16",,,0,1,"RW","3-phase 4-wire mode grid unbalanced support control register
0: Disable unbalanced support function (default)
1: Enable unbalanced support function","Installer",1,"7,20575940379279E+016"
,"1039","PV_Generation_Ratio","U16","0,001","p.u.",800,3600,"RW","Power generation rate. The default value is 1000","Installer",,0
,"103A","Energy_Purchase_Ratio","U16","0,001","p.u.",800,1500,"RW","Buy power rate. The default value is 1000","Installer",,0
,"103B","Energy_Selling_Ratio","U16","0,001","p.u.",800,1500,"RW","Selling power ratio. The default value is 1000","Installer",,0
,"103C","Bat_Charge_Ratio","U16","0,001","p.u.",800,1500,"RW","Battery Charging power rate, Default value: 1000","Installer",,0
,"103D","Bat_Discharge_Ratio","U16","0,001","p.u.",800,1500,"RW","Battery Discharge power rate. Default value: 1000","Installer",,0
,"103E",,,,,,,,,,,
,"103F",,,,,,,,,,,
,"1040","AddressMask_Config_Basic2","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field plus 1 is located.
0 means invalid; 1 means valid. ","End user","00000000","000FFFFF"
,"1041",,,,,,,,,"End user",,
,"1042",,,,,,,,,"End user",,
,"1043",,,,,,,,,"End user",,
,"1044","BatConfig_ID","U16",,,0,7,"RW","Battery serial number.
The serial number specified by this register corresponds to the actual battery input interface of the inverter.
After successfully writing to this register, the battery parameters will be updated to the parameters corresponding to the written serial number.

NOTE: the BatConfig parameters can only be written all at once with Multi write command, for example:
01 10 10 44 00 13 26 00 00 00 00 00 00 13 88 16 F3 00 00 11 17 0D AC 0D AC 00 32 00 32 00 78 13 88 00 00 00 05 00 01 00 10 00 10 00 10 B7 B8","End user",1,16
,"1045","BatConfig_Address","U16",,,0,99,"RW","Battery communication address.
If multiple batteries are allowed in the system, this register is used to mark the battery address of the physical interface corresponding to the battery serial number","End user",1,32
,"1046","BatConfig_Protocol","U16",,,0,65535,"RW","Battery Parameters-Communication Protocol
0: Built-in BMS (for batteries without their own BMS like Lead Acid)
1: Pylontech Protocol
2: SOFAR Protocol
3: AMASS Batteries
4: LGchem
5: Alpha.ESS
6: CATL
7: Weco","End user",1,64
,"1047","BatConfig_Voltage_Over","U16","0,1","V",0,65535,"RW","Battery parameters-overvoltage protection value","Installer",1,128
,"1048","BatConfig_Voltage_Charge","U16","0,1","V",0,65535,"RW","Battery parameters-charging voltage protection value","Installer",1,256
,"1049","BatConfig_Voltage_Lack","U16","0,1","V",0,65535,"RW","Battery parameters-undervoltage protection voltage, lead-acid battery visible","Installer",1,512
,"104A","BatConfig_Voltage_Discharge_Stop","U16","0,1","V",0,65535,"RW","Battery Parameter-Lowest discharge voltage","Installer",1,1024
,"104B","BatConfig_Current_Charge_Limit","U16","0,01","A",0,65535,"RW","Battery Parameter-Maximum charge current limit","End user",1,2048
,"104C","BatConfig_Current_Discharge_Limit","U16","0,01","A",0,65535,"RW","Battery Parameter-Maximum discharge current limit","End user",1,4096
,"104D","BatConfig_Depth_of_Discharge","U16",1,"%",1,90,"RW","Dod indicates the max discharge power, when SOC<1-DOD, inverter will stop power discharge , inverter will stop power discharge caused by other issues.        DOD<=EOD","End user",1,8192
,"104E","BatConfig_End_of_Discharge","U16",1,"%",1,90,"RW","EOD indicates the maximum off-grid discharge. When SOC<1-EOD, the inverter will stop discharging, and the inverter will also stop discharging according to other conditions","End user",1,16384
,"104F","BatConfig_Capacity","U16",1,"Ah",1,65535,"RW","Battery parameters-battery capacity (default 50)","End user",1,32768
,"1050","BatConfig_Voltage_Nominal","U16","0,1","V",0,65535,"RW","Battery parameters-rated battery voltage (default 0)","End user",1,65536
,"1051","BatConfig_Cell_Type","U16",1,,0,3,"RW","Battery parameters-battery cell type;
0: Lead acid (default)
1: Lithium iron phosphate
2: Lithium Ternary battery
3: Lithium titanate battery","End user",1,131072
,"1052","BatConfig_EPS_Buffer","U16",1,"%",5,100,"RW","Battery parameters-lead acid resistance;  Default value: 50mΩ;                  Internal resistance + line resistance","End user",1,262144
,"1053","BatConfig_Control","U16",,,,,"RW","Battery parameter write control;
When the written value is 1, the value in the battery parameter shadow register is updated to the system battery parameter configuration;
When the written value is 2, the value in the battery parameter shadow register is updated to the default value of BatConfig_Potocol;
When reading, return the status of the last write operation:
0x0000: success
0x0001: operating
0xFFFB: The operation failed and the controller refused to respond (maybe the controller is busy or the configuration is wrong)
0xFFFC: The operation failed and the controller did not respond
0xFFFD: Operation failed, current function is forbidden
0xFFFE: Operation failed, parameter storage failed
0xFFFF: The operation failed, the input parameter is wrong","End user",1,524288
,"1054","BatConfig_Address2","U16",,,0,99,"RW","Battery address.
If multiple batteries are allowed in the system, this register is used to mark the battery address of the physical interface corresponding to the battery serial number","End user",1,
,"1055","BatConfig_Address3","U16",,,0,99,"RW","Battery address.
If multiple batteries are allowed in the system, this register is used to mark the battery address of the physical interface corresponding to the battery serial number.","End user",1,
,"1056","BatConfig_Address4","U16",,,0,99,"RW","Battery address.
If multiple batteries are allowed in the system, this register is used to mark the battery address of the physical interface corresponding to the battery serial number.","End user",1,
,"1057",,,,,,,,,,,
,"1058",,,,,,,,,,,
,"1059",,,,,,,,,,,
,"105A",,,,,,,,,,,
,"105B",,,,,,,,,,,
,"105C",,,,,,,,,,,
,"105D",,,,,,,,,,,
,"105E",,,,,,,,,,,
,"105F",,,,,,,,,,,
,"1060","PCCSampleMode","U16",,,0,2,"RW","PCC power acquisition device configuration
0: not used
1: Electricity meter
2: CT
3: ARPC",,,
,"1061",,,,,,,,,,,
,"1062",,,,,,,,,,,
,"1063",,,,,,,,,,,
,"1064",,,,,,,,,,,
,"1065",,,,,,,,,,,
,"1066",,,,,,,,,,,
,"1067",,,,,,,,,,,
,"1068",,,,,,,,,,,
,"1069",,,,,,,,,,,
,"106A",,,,,,,,,,,
,"106B",,,,,,,,,,,
,"106C",,,,,,,,,,,
,"106D",,,,,,,,,,,
,"106E",,,,,,,,,,,
,"106F",,,,,,,,,,,
,"1070",,,,,,,,,,,
,"1071",,,,,,,,,,,
,"1072",,,,,,,,,,,
,"1073",,,,,,,,,,,
,"1074",,,,,,,,,,,
,"1075",,,,,,,,,,,
,"1076",,,,,,,,,,,
,"1077",,,,,,,,,,,
,"1078",,,,,,,,,,,
,"1079",,,,,,,,,,,
,"107A",,,,,,,,,,,
,"107B",,,,,,,,,,,
,"107C",,,,,,,,,,,
,"107D",,,,,,,,,,,
,"107E",,,,,,,,,,,
,"107F",,,,,,,,,,,
,"1080","AddressMask_Config_Basic3","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field plus 1 is located.
0 means invalid; 1 means valid","Installer","00000000","0000000F"
,"1081",,,,,,,,,"Installer",,
,"1082",,,,,,,,,"Installer",,
,"1083",,,,,,,,,"Installer",,
,"1084","Arcing_Alarm_Enable","U16",,,,,"RW","Enable arc detection function","Installer",,
,"1085","Arcing_ChannelSelfTest_Comm","U16",,,,,"RW","Write 1 to start self-check (self-check all channels).
It will be automatically cleared after the self-test","Installer",,
,"1086","Arcing_ChannelSelfTest_Result","U32",,,,,"R","bit0 indicates the self-check result of channel 1, bit1 indicates the channel
The self-check result of 2, bit2 represents the self-check result of channel 3
If the result, bit3 represents the self-check result of channel 4.
1 means self-test failed (or no self-test), 0 means self-test
The inspection is successful","Installer",,
,"1087",,,,,,,,,"Installer",,
,"1088","Arcing_Alarm_Threshold1","I16",1,,0,127,"RW","Settable arc alarm threshold (all channels)","Installer",,
,"1089","Arcing_Alarm_Threshold2","I16",1,,0,127,"RW","Settable arc alarm threshold (all channels)","Installer",,
,"108A","Arcing_Alarm_Threshold3","I16",1,,0,127,"RW","Settable arc alarm threshold (all channels)","Installer",,
,"108B","Arcing_Alarm_Threshold4","I16",1,,0,127,"RW","Settable arc alarm threshold (all channels)","Installer",,
,"108C","Arcing_Alarm_Clear","U16",,,"0x1234","0x1234","RW","Write 0x1234 to clear the arc alarm (all channels)","Installer",,
,"108D","Arcing_Alarm_ShutDown_Threshold","U16",1,,1,32,"RW","DC arc alarm fault threshold: after ""current arc alarm times"" is greater than or equal to ""current arc alarm times"", a DC arc alarm fault is reported and the inverter shuts down","Installer",,
,"108E","Arcing_Alarm_Counter","U16",1,,0,32,"R","Current arc alarm times","Installer",,
,"108F",,,,,,,,,,,
,"1090",,,,,,,,,,,
,"1091",,,,,,,,,,,
,"1092",,,,,,,,,,,
,"1093",,,,,,,,,,,
,"1094",,,,,,,,,,,
,"1095",,,,,,,,,,,
,"1096",,,,,,,,,,,
,"1097",,,,,,,,,,,
,"1098",,,,,,,,,,,
,"1099",,,,,,,,,,,
,"109A",,,,,,,,,,,
,"109B",,,,,,,,,,,
,"109C",,,,,,,,,,,
,"109D",,,,,,,,,,,
,"109E",,,,,,,,,,,
,"109F",,,,,,,,,,,
,"10A0","PLC_Enable_Setting","U16",,,,,"RW",,,,
,"10A1","PLC_Com_Property","U16","NULL","NULL","",,"RW","bit0-bit1:0~1 corresponds to 1/1.5
bit2~bit4:0~7 corresponds to NONE/odd/EVEN three kinds of checksum
bit5~bit7 0~3 corresponds to 8/9l two kinds of data bit length
bit8~15 0~7 corresponds to 4800/9600/19200/38400/115200    ","End-users",,
,"10A2",,,,,"",,,,,,
,"10A3",,,,,"",,,,,,
,"10A4",,,,,"",,,,,,
,"10A5","BLE_Enable_Setting","U16","NULL","NULL","",1,"RW",,,,
,"10A6","BLE_Com_Property","U16","NULL","NULL","",65535,"RW","bit0-bot1:0~1 corresponds to 1/1.5
bit2~bit4:0~7 corresponds to NONE/odd/EVEN three types of checksum
bit5~bit7 0~1 corresponds to 8/9l two kinds of data bit length
bit8~15 0~7 corresponds to 4800/9600/19200/38400/115200 ",,,
,"10A7",,,,,"",,,,,,
,"10A8",,,,,"",,,,,,
,"10A9",,,,,"",,,,,,
,"10AA",,,,,"",,,,,,
,"10AB",,,,,"",,,,,,
,"10AC",,,,,"",,,,,,
,"10AD",,,,,"",,,,,,
,"10AE",,,,,"",,,,,,
,"10AF",,,,,"",,,,,,
,"10B0","PID_Auto_running_enable","U16",,,"",1,"RW","PID start auto-run.
0 means disable; 1 means enable.","End Users",,
,"10B1","PID_Working_Start_Time","BCD16",1,"Minute","",2359,"RW","PID operation start time (BCD code).
For example: a minimum value of 0x0000 indicates 00:00.
Maximum value 0x2359 indicates 23:59.","End User",,
,"10B2","PID_Working_Hours","U16",1,"Minute","",65535,"RW","PID operating duration.","End User",,
,"10B3","PID_Working_PV_Threshold","U16","0,1","V","",65535,"RW","PID start PV value threshold.
PID activation is only allowed when the PV voltage is below the threshold value.","End User",,
,"10B4","PID_Break_Restart_Delay","U16",1,"Minute","",65535,"RW","Restart wait time after PID fault shutdown.","End User",,
,"10B5",,,,,,,,,,,
,"10B6",,,,,,,,,,,
,"10B7",,,,,,,,,,,
,"10B8",,,,,,,,,,,
,"10B9",,,,,,,,,,,
,"10BA",,,,,,,,,,,
,"10BB",,,,,,,,,,,
,"10BC",,,,,,,,,,,
,"10BD",,,,,,,,,,,
,"10BE",,,,,,,,,,,
,"10BF",,,,,,,,,,,
,"10C0",,,,,,,,,,,
,"10C1",,,,,,,,,,,
,"10C2",,,,,,,,,,,
,"10C3",,,,,,,,,,,
,"10C4",,,,,,,,,,,
,"10C5",,,,,,,,,,,
,"10C6",,,,,,,,,,,
,"10C7",,,,,,,,,,,
,"10C8",,,,,,,,,,,
,"10C9",,,,,,,,,,,
,"10CA",,,,,,,,,,,
,"10CB",,,,,,,,,,,
,"10CC",,,,,,,,,,,
,"10CD",,,,,,,,,,,
,"10CE",,,,,,,,,,,
,"10CF",,,,,,,,,,,
,"10D0",,,,,,,,,,,
,"10D1",,,,,,,,,,,
,"10D2",,,,,,,,,,,
,"10D3",,,,,,,,,,,
,"10D4",,,,,,,,,,,
,"10D5",,,,,,,,,,,
,"10D6",,,,,,,,,,,
,"10D7",,,,,,,,,,,
,"10D8",,,,,,,,,,,
,"10D9",,,,,,,,,,,
,"10DA",,,,,,,,,,,
,"10DB",,,,,,,,,,,
,"10DC",,,,,,,,,,,
,"10DD",,,,,,,,,,,
,"10DE",,,,,,,,,,,
,"10DF",,,,,,,,,,,
,"10E0",,,,,,,,,,,
,"10E1",,,,,,,,,,,
,"10E2",,,,,,,,,,,
,"10E3",,,,,,,,,,,
,"10E4",,,,,,,,,,,
,"10E5",,,,,,,,,,,
,"10E6",,,,,,,,,,,
,"10E7",,,,,,,,,,,
,"10E8",,,,,,,,,,,
,"10E9",,,,,,,,,,,
,"10EA",,,,,,,,,,,
,"10EB",,,,,,,,,,,
